period	culture	class
Epipaléolithique ou Mésolithique 1 ?	Epimagdalénien ou Sauveterroïde microlaminaire (SML) ?	
Mésolithique 1	Somme (culture de la)	
Néolithique ancien	NA oranais	en
Mésolithique 1	Muescas y Denticulados (MMD) ?	
néolithique ancien ?		
Néolithique final	Artenac	fn
Néolithique final		fn
Mésolithique 1	Epiromanellien	
Epipaléolithique	Romanellien	
Néolithique final	Campaniforme	fn
Néolithique final	Uruk	fn
Néolithique moyen		mn
Néolithique moyen	NMB	mn
Néolithique moyen	Saint-Uze	mn
Néolithique moyen	Montbolo	mn
Néolithique moyen	Chasséen récent	mn
Néolithique moyen	VBQ I	mn
Néolithique moyen	DFBW	mn
Néolithique moyen	Halaf	mn
Mésolithique 1	Muescas y Denticulados (MMD) ou Sauveterrien ?	
Néolithique moyen	Chasséen ancien	mn
Epipaléolithique	Epilaborien	
Epipaléolithique	Valorguien	
Epipaléolithique	Azilien et Laborien	
Mésolithique 1	Sauveterrien microlaminaire (SML)	
Mésolithique 1	Sauveterrien microlaminaire (SML) ?	
Epipaléolithique	Sauveterrien microlaminaire (SML) ?	
Epipaléolithique	Akrotiri	
Néolithique moyen	Premières poteries peintes	mn
Epipalaeolithic	Upper Capsian?	
Néolithique moyen	Bande Rosse	mn
Mésolithique 1 ou 2	Muescas y Denticulados (MMD) ou Fase geométrica A	
Néolithique moyen	Préchasséen	mn
Néolithique moyen	VBQ	mn
Néolithique moyen	Curasien	mn
Epipaléolithique	Ouarglien	
Mésolithique 1	Columnatien	
Epipaléolithique	“Elassolithique”	
Epipaléolithique	Ouarglien ou Mellalien	
Mésolithique 2	Ouarglien	lm
Epipaléolithique	Ibéromaurusien	
Epipaléolithique	Epipaléolithique à poterie	
Epipaléolithique	Epipaléolithique méditerranéen	
Epipaléolithique	Kérémien	
Epipaléolithique	“post-ibéromaurusien”	
Néolithique moyen	Poinçonné	mn
	Upper Capsian?	
Mésolithique 1	Kérémien	
Mésolithique 2	Fase geométrica	lm
Mésolithique 2	Grebeniki	lm
Epipaléolithique	Epitardigravettien	
Epipaléolithique	Clisurien	
Mésolithique 2	Post-Asturien	lm
Mésolithique	Asturien ?	
Mésolithique 1	Epipaleolític geomètric	
néolithique moyen ?		
néolithique récent ?		
Mésolithique 1	Asturien ?	
Mésolithique 1 ?	Muescas y Denticulados (MMD) ?	
Antic	Neolithikum	
Mig	Neolithikum	
Early	Neolithikum	
	Mesolithikum	
älteste LBK	Linienbandkeramik	en
	Linienbandkeramik	en
late (III)	Starcevo-Körös-Criș culture	en
late	Mesolithikum	
frühe LBK	Linienbandkeramik	en
	Starcevo-Körös-Criș culture	en
Older	Butmir Culture	
Late (Phase Spantov)	Boian culture	
	Lengyel	
	Frühneolithikum	
	Stichbandkeramik	
ältere bis mittlere LBK	Linienbandkeramik	en
älteste LBK, entwickelte Phase	Linienbandkeramik	en
FN?	Trichterbecher-Nordgruppe	
	Hazendonk	
	Großgartach	
Phase Id der niederländischen LBK	Linienbandkeramik	en
jüngeres	Wartberg	
6	Linienbandkeramik	en
5	Linienbandkeramik	en
ältere LBK	Linienbandkeramik	en
Langweiler 2, Phase 2a (IIa/b nach Modderman)	Linienbandkeramik	en
Langweiler 2, Phase 3.	Linienbandkeramik	en
Phase Ic	Linienbandkeramik	en
III nach Zápotocká (1970)	Stichbandkeramik	
Groupe de Blicquy	Linienbandkeramik	en
	Egolzwil	
IId (nach Modderman)	Linienbandkeramik	en
Übergang Großgartach zu Planig-Friedberg	Großgartach	
Rubané récent	Linienbandkeramik	en
späte	Linienbandkeramik	en
entwickelte erste Phase der LBK	Linienbandkeramik	en
jüngste (V nach Meier-Arendt 1966)	Linienbandkeramik	en
ältere LBK, Stilphase 2a (vgl. Stehli 1994, 135 Abb. 36).	Linienbandkeramik	en
early	Mesolithikum	
jüngere	Linienbandkeramik	en
mittlere - jüngere LBK	Linienbandkeramik	en
möglicherweise älteste oder ältere	Linienbandkeramik	en
jüngere - jüngste	Linienbandkeramik	en
	Rössen	
	Frühbronzezeit	
I	Hinkelstein	
späte	Ertebølle-Ellerbek	
Early	Swifterbant	
	Einzelgrabkultur	
	Neolithikum	
I	Karanovo culture	
IIb/III	Starcevo-Körös-Criș culture	en
early (I)	Starcevo-Körös-Criș culture	en
Ib	Starcevo-Körös-Criș culture	en
middle (II)	Starcevo-Körös-Criș culture	en
Früh	Vinča culture	
Ie	Lepenski Vir	
Ia	Lepenski Vir	
A	Vinča culture	
	Saligos culture	
Pre-Pottery	Neolithikum	
Mig/Final	Neolithikum	
Final	Neolithikum	
Alföld-LBK	Linienbandkeramik	en
	Vinča culture	
	Südostbayerische Mittelneolithikum (SOB)	
Starcevo	Starcevo-Körös-Criș culture	en
Epicardial	Cardial	en
	Danilo	
	Cardial	en
	Culture rubanée	
	Castelnovien	lm
Impresso	Cardial	en
